X,Y,objectid,globalid,localauthority,reportdate,totalcalls,collectiondelivery,social,meals,other,otherrequest,callback,forummeetings
0,0,8,0d1616f1-0f22-4463-8abb-bcd15dabee70,Roscommon,2020/04/03 11:00:00+00,252,42,62,118,3,27,25,1
0,0,9,1453f22b-81da-4026-848e-9b86c68f7404,Longford,2020/04/03 11:00:00+00,63,13,3,3,4,39,19,3
0,0,10,9530eebb-2d24-4fa4-8517-d7fa73bd6037,Waterford,2020/04/03 11:00:00+00,51,20,10,4,3,13,0,2
0,0,11,aef074ef-3b74-4d46-842c-5ca35647bf52,Donegal,2020/04/03 11:00:00+00,108,17,15,1,6,67,21,2
0,0,12,2b89a1fc-51ca-4d7f-8c56-dacca66b03d7,Galway City,2020/04/03 11:00:00+00,147,54,48,20,3,16,147,3
0,0,13,74d26a88-e253-44f5-8ec4-09f01530a333,Wicklow,2020/04/03 11:00:00+00,100,34,6,1,2,57,34,1
0,0,14,3a2e5b02-9d58-48db-8e3c-900359472624,Dún Laoghaire–Rathdown,2020/04/03 11:00:00+00,313,223,19,7,23,59,110,5
0,0,15,be40edbe-1f89-4ffa-8066-f983e43b1737,Sligo,2020/04/03 11:00:00+00,73,22,17,10,4,19,64,3
0,0,16,4a6a31e7-15a5-4834-8ee7-a702fa8ed063,Meath,2020/04/03 11:00:00+00,146,49,29,10,13,43,66,2
0,0,17,63038112-1894-4c0c-8c09-2e17dbca0325,Clare,2020/04/03 11:00:00+00,114,39,7,6,17,40,23,2
0,0,18,ef0d468b-81ff-45ea-873e-dfacc2fb6df9,Kilkenny,2020/04/03 11:00:00+00,175,28,3,7,5,132,1,1
0,0,19,5d3e8da9-be7b-4e83-8c1e-fdbba45a7344,Laois,2020/04/03 11:00:00+00,70,16,8,3,6,32,0,3
0,0,20,e69de018-a4d9-4fee-8103-f0fbdccdc041,South Dublin,2020/04/03 11:00:00+00,111,75,10,3,2,20,0,1
0,0,21,4f927844-0bd9-41c8-84ac-4a2e5a7408f7,Galway County,2020/04/03 11:00:00+00,98,51,0,5,11,28,11,1
0,0,22,4b266716-169a-4a48-845a-501334cf40ec,Fingal,2020/04/03 11:00:00+00,183,77,0,6,4,95,42,1
0,0,23,e4e8e79c-05b1-444d-8c1b-99d152b36c57,Dublin,2020/04/03 11:00:00+00,117,87,6,7,2,10,0,1
0,0,24,e0798872-da3d-4359-8018-047499cc5c87,Kildare,2020/04/03 11:00:00+00,102,30,7,3,9,51,24,2
0,0,25,eb5f3f8f-b5c0-4109-8e39-a1e1a593a37c,Cavan,2020/04/03 11:00:00+00,47,29,1,4,0,7,10,2
0,0,26,b830021f-bf8a-40b7-8857-d09ff0c2a00e,Leitrim,2020/04/03 11:00:00+00,83,38,3,0,16,26,55,3
0,0,27,fc434745-dbee-4033-8859-96ff3c4cfb7f,Kerry,2020/04/03 11:00:00+00,73,24,7,2,6,31,0,0
0,0,28,e819c4a3-8006-4de9-8f32-47ae96e57b53,Cork County,2020/04/03 11:00:00+00,414,51,3,7,9,280,381,2
0,0,29,820564fc-491c-4955-82b1-2f192ee13a39,Offaly,2020/04/03 11:00:00+00,61,14,7,4,18,18,0,2
0,0,30,494eda3b-37b7-48ef-8bbb-c6eaf688d195,Wexford,2020/04/03 11:00:00+00,359,56,199,8,4,91,199,1
0,0,31,d0a136da-94ea-415c-8607-d5608ceb9060,Westmeath,2020/04/03 11:00:00+00,49,21,5,2,2,19,0,3
0,0,32,06c15c3a-ecbc-47c5-8042-74a03399c0f6,Tipperary,2020/04/03 11:00:00+00,61,33,13,4,4,7,0,2
0,0,33,a9e11ada-8ba3-4451-8aea-8709e8a57cda,Mayo,2020/04/03 11:00:00+00,153,59,4,2,8,80,86,2
0,0,35,26eb7ef7-1a09-4504-8a6d-c1cad0f2a4f1,Monaghan,2020/04/02 23:00:00+00,57,5,4,5,3,40,15,2
0,0,36,21ad2fee-194a-4735-8903-7170018f871a,Limerick,2020/04/02 23:00:00+00,65,38,11,5,4,6,0,1
0,0,37,0724126a-4ffb-4100-8b88-af382c8e52c8,Louth,2020/04/02 23:00:00+00,71,63,9,5,4,6,21,4
0,0,38,66ff109d-35de-4f8b-89ea-978e9be5c23e,Clare,2020/04/04 11:00:00+00,14,4,0,1,2,6,0,0
0,0,39,4e7603b5-c6c1-454d-88e6-e94afdba5b0c,Kilkenny,2020/04/04 11:00:00+00,8,3,0,0,3,2,1,3
0,0,40,561d176e-fa42-4e44-8287-8b41007008f4,Galway City,2020/04/04 11:00:00+00,28,16,9,1,0,2,8,0
0,0,41,54d8ce5d-d17d-4b1b-858e-3a42004c2ff6,Waterford,2020/04/04 11:00:00+00,35,13,9,0,2,11,0,0
0,0,42,6fb7d83d-c020-4e57-8288-c3d84cd8e246,Roscommon,2020/04/04 11:00:00+00,35,12,8,14,0,1,5,1
0,0,43,a6aa041d-4590-463e-8d3d-f6ba057096f5,Cavan,2020/04/04 11:00:00+00,5,1,1,1,0,2,7,0
0,0,44,9e536cdb-7ab3-4050-8412-6ac6ef2dee29,Fingal,2020/04/04 11:00:00+00,15,4,0,1,0,10,13,0
0,0,45,9cdc22c8-6e75-4746-8b33-8ec146ac4f70,Louth,2020/04/04 11:00:00+00,20,13,3,3,0,1,12,0
0,0,46,45e0811b-6160-4afe-8308-a86ff32ed702,Wicklow,2020/04/04 11:00:00+00,23,5,1,2,2,12,4,0
0,0,47,2b5c4708-e4d5-416a-80df-92be294fcaba,Meath,2020/04/04 11:00:00+00,16,4,0,1,1,10,0,2
0,0,48,c284e64c-4f8c-48bf-88a3-292bef36cb70,Donegal,2020/04/04 11:00:00+00,15,3,2,2,2,6,0,0
0,0,49,31aa8079-b4f1-4c3f-88d0-216b6e2f8164,Sligo,2020/04/04 11:00:00+00,19,4,4,2,0,9,21,0
0,0,50,33880c06-1da4-4450-8fc5-ed13e3a61b9f,Offaly,2020/04/04 11:00:00+00,17,2,2,0,1,12,0,0
0,0,51,9f75a924-faf8-40b1-871b-d9051917c409,Leitrim,2020/04/04 11:00:00+00,3,1,0,0,1,1,4,0
0,0,52,dc3c4290-5f0e-41a0-80c8-7de4ed0237f7,Galway County,2020/04/04 11:00:00+00,7,3,2,0,0,2,3,0
0,0,53,bb8af184-6d8a-4150-8229-dfa890c137fe,Monaghan,2020/04/04 11:00:00+00,5,1,0,1,0,3,2,0
0,0,54,bf87d4b6-7456-4318-8816-fe80e6e6424e,Dún Laoghaire–Rathdown,2020/04/04 11:00:00+00,28,22,0,1,3,3,107,0
0,0,55,606bf32e-c41e-4c24-8b92-5fbfd103fcdd,Kildare,2020/04/04 11:00:00+00,32,10,0,1,1,20,6,0
0,0,56,772104b6-a636-4f94-8bda-1b657c235e3d,Carlow,2020/04/04 11:00:00+00,10,5,5,1,0,,15,0
0,0,57,2e5de0c1-6653-4963-88f8-8f017dec0fa6,Kerry,2020/04/04 11:00:00+00,28,9,1,6,6,6,50,0
0,0,58,74566c28-20d7-4676-8d4b-975387a8eeb4,Dublin,2020/04/04 11:00:00+00,32,15,3,10,1,3,0,0
0,0,59,8d278aee-1679-4c96-83d8-dc4a543b9639,Longford,2020/04/04 11:00:00+00,6,0,1,0,0,5,5,0
0,0,60,60b00d5f-1244-41cb-841b-46a3290edf5a,South Dublin,2020/04/04 11:00:00+00,30,13,0,0,1,16,14,0
0,0,61,dcdb2c27-3f25-4501-85fb-508c5b06a983,Westmeath,2020/04/04 11:00:00+00,11,6,0,0,0,5,0,0
0,0,62,f1eb43fe-e9ae-450e-8ceb-bfc1de132220,Laois,2020/04/04 11:00:00+00,14,6,1,1,1,5,0,0
0,0,63,10392a7f-5bff-4f84-85a7-839cb90252ce,Wexford,2020/04/04 11:00:00+00,49,5,0,0,1,3,30,0
0,0,65,cc839753-64da-4bd0-8678-db2789055348,Cork County,2020/04/04 11:00:00+00,57,9,1,0,0,47,57,0
0,0,66,a10f651a-993a-4dff-82a2-2275df766689,Limerick,2020/04/04 11:00:00+00,31,13,1,2,0,7,0,0
0,0,67,b087079d-e5c9-44c4-843c-552220960a02,Tipperary,2020/04/04 11:00:00+00,8,4,1,0,0,2,7,0
0,0,68,12106db1-d524-4196-8b6c-457882a72b42,Mayo,2020/04/04 10:00:00+00,5,3,0,0,0,2,3,0
0,0,69,d693f585-dbb3-4484-8262-52b72698475e,Carlow,2020/04/02 23:00:00+00,61,22,6,0,12,21,37,0
0,0,70,3d837b78-9e5c-4160-84bb-ffa69bd0c83b,Carlow,2020/04/03 23:00:00+00,10,5,4,1,0,3,15,0
0,0,71,ade201b3-97de-454f-821d-c7f50c93016f,Dún Laoghaire–Rathdown,2020/04/05 11:00:00+00,22,9,1,0,2,10,65,0
0,0,72,264a2680-2b41-475b-8b04-c9e9fff7413a,Louth,2020/04/05 11:00:00+00,1,1,0,1,0,0,12,0
0,0,73,4d3ef8c1-2efc-4d9e-848a-b87ec4c86a61,Clare,2020/04/05 11:00:00+00,14,4,0,0,0,10,1,0
0,0,74,8ea8d82b-a31c-4161-87fc-0c949994e8ba,Galway City,2020/04/05 11:00:00+00,10,4,4,0,2,0,3,0
0,0,75,587c1978-3f08-4981-8221-56f805e312fe,Galway County,2020/04/05 11:00:00+00,12,2,0,0,0,10,0,0
0,0,76,16daa7c6-2c33-4db8-8061-a4d593545bde,Cavan,2020/04/05 11:00:00+00,3,1,1,0,0,0,1,0
0,0,77,70479e16-7be6-4473-8850-a0678cfd8f9e,Leitrim,2020/04/05 11:00:00+00,2,0,0,0,0,2,2,0
0,0,78,dff3ffeb-6a55-48f8-88ee-f51ac3f54322,Wicklow,2020/04/05 11:00:00+00,10,1,0,0,1,7,14,0
0,0,79,4d14302a-a429-4e86-88ca-2ca3b6f83954,Fingal,2020/04/05 11:00:00+00,16,1,1,0,2,12,11,0
0,0,80,61b762b2-8aba-48c5-84e8-4e31d89868fd,Sligo,2020/04/05 11:00:00+00,8,2,2,1,0,3,7,0
0,0,81,0a1bc092-6fda-4013-86d2-4a2f08bea0be,Kilkenny,2020/04/05 11:00:00+00,4,2,0,0,1,1,3,0
0,0,82,f5204827-75a2-478a-862d-2a4a944ab854,Offaly,2020/04/05 11:00:00+00,8,1,0,0,0,7,1,0
0,0,83,da107ace-8b16-414f-811f-e26049943747,Monaghan,2020/04/05 11:00:00+00,18,5,0,2,1,10,20,0
0,0,84,ee372a3a-5053-44ea-8c37-3dd78ce5aa9e,Waterford,2020/04/05 11:00:00+00,9,4,1,0,0,4,0,0
0,0,85,7b5cd239-d88c-4177-85f8-f165d6e6b3b4,Roscommon,2020/04/05 11:00:00+00,31,11,0,8,1,3,9,0
0,0,86,188ebb2b-2cd2-4a1a-81cd-106b590286e8,Mayo,2020/04/05 11:00:00+00,2,2,0,0,0,0,2,0
0,0,87,eaa9136f-7a7c-4c01-89c9-18d2881845ad,Meath,2020/04/05 11:00:00+00,13,4,1,0,0,8,2,2
0,0,88,4f11aa80-709c-4340-8796-04c30687c0a3,South Dublin,2020/04/05 11:00:00+00,10,3,0,0,0,7,4,0
0,0,89,27e0d10d-7bb2-43c9-8d65-924204d50204,Donegal,2020/04/05 11:00:00+00,6,1,0,1,2,2,0,0
0,0,90,2d85806a-f578-48b3-8f71-4e5fbdb97a96,Laois,2020/04/05 11:00:00+00,8,1,1,0,0,6,0,0
0,0,91,a83eced2-07bd-446a-84b2-85d6c393ad01,Tipperary,2020/04/05 11:00:00+00,8,3,0,0,1,4,8,0
0,0,92,231f506c-ec05-4a21-81fe-29dd1bf40dac,Westmeath,2020/04/05 11:00:00+00,6,1,0,0,1,4,0,0
0,0,93,4b1388db-f7f2-4eec-84c3-3010f8e1f377,Limerick,2020/04/05 11:00:00+00,14,3,0,0,1,10,0,0
0,0,94,8713e9b4-18af-4d08-88df-3e2e63589de6,Kerry,2020/04/05 11:00:00+00,24,7,0,1,1,15,4,0
0,0,97,4820fded-46c3-4d12-8b20-7134b5780a00,Longford,2020/04/05 11:00:00+00,4,0,0,0,0,4,1,0
0,0,98,5a4bd3a6-00b7-4324-8c55-334dd6554655,Wexford,2020/04/05 11:00:00+00,37,4,105,2,3,17,135,0
0,0,99,0eae34b7-1500-4c4b-80fa-1e166c322ed3,Kildare,2020/04/05 11:00:00+00,26,2,0,1,0,23,0,0
0,0,100,d8488a76-11af-4a60-8ed2-f06e050acfd4,Dublin,2020/04/05 11:00:00+00,12,10,0,1,0,1,0,0
0,0,101,293a7646-1685-45c7-8b1d-08a518980358,Cork County,2020/04/05 11:00:00+00,22,3,1,0,1,14,22,0
0,0,102,d09b4e36-3893-4e9a-83aa-0bc21d0b8f2b,Cork City,2020/04/04 23:00:00+00,307,196,40,19,0,52,108,2
0,0,103,1c56ba69-15e1-4ae5-8a36-e1a23bf8924d,Westmeath,2020/04/06 11:00:00+00,17,4,2,0,1,10,0,0
0,0,104,b9efcec1-bf61-47e6-877b-1de7f119b879,South Dublin,2020/04/06 11:00:00+00,37,17,6,0,1,13,9,0
0,0,105,bb4610b1-3c11-448a-884f-5ead940940a8,Fingal,2020/04/06 11:00:00+00,79,22,0,3,4,50,4,0
0,0,106,5c08f857-2b96-4d5f-8218-92eb2289e216,Roscommon,2020/04/06 11:00:00+00,75,24,8,40,0,3,7,1
0,0,107,339832af-4180-492f-8ba9-b2aa806c5bb5,Galway City,2020/04/06 11:00:00+00,21,5,13,1,1,0,29,0
0,0,108,11388037-30c3-45ef-8d28-61b16b117058,Kilkenny,2020/04/06 11:00:00+00,10,3,3,1,2,1,0,0
0,0,109,05cfd894-ce45-4d38-87ad-ab53ec5bbf09,Galway County,2020/04/06 11:00:00+00,29,11,0,1,1,16,2,1
0,0,110,806cefb7-02ad-4784-86cd-99c8721eaa2c,Leitrim,2020/04/06 11:00:00+00,13,4,0,1,1,7,9,1
0,0,111,4a0c5d4c-b264-41a5-84ca-5a900b30e843,Carlow,2020/04/06 11:00:00+00,31,18,1,0,5,9,62,0
0,0,112,16c8eb4d-280f-4266-8a4c-31a9a45e58cc,Cavan,2020/04/06 11:00:00+00,16,7,0,1,0,5,8,0
0,0,113,228708e7-c6dd-466f-8a61-871e6ad69d80,Monaghan,2020/04/06 11:00:00+00,11,1,3,1,0,6,1,0
0,0,114,46cfe0e1-b090-4ab8-825a-b368e5dc202e,Meath,2020/04/06 11:00:00+00,27,13,0,0,2,12,0,0
0,0,115,6a8f2bd7-2443-4159-87fd-c2b2f31f6b81,Dún Laoghaire–Rathdown,2020/04/06 11:00:00+00,71,58,1,3,1,13,139,1
0,0,116,b294daba-0db2-41dd-8f61-08a08e8992d8,Donegal,2020/04/06 11:00:00+00,25,5,1,0,4,13,0,0
0,0,117,bbc5b4b2-7e5e-4ca4-8b65-b23f1b5e413a,Sligo,2020/04/06 11:00:00+00,27,7,7,2,4,7,23,1
0,0,118,bfeed17e-7ab6-4ffd-8cfb-b518ff62aa66,Waterford,2020/04/06 11:00:00+00,36,8,5,1,1,21,0,0
0,0,119,068f91a6-637f-4bd0-8eb7-a475b5771445,Clare,2020/04/06 11:00:00+00,31,16,0,1,1,13,10,0
0,0,120,9582ba39-be61-4481-8cc9-d32e2efe0258,Wicklow,2020/04/06 11:00:00+00,46,16,0,0,1,29,3,0
0,0,121,3e944160-2e9c-4994-8ee8-eba819b3144d,Louth,2020/04/06 11:00:00+00,14,9,0,3,0,3,2,1
0,0,122,0d337941-e493-4514-8783-c1bce875d876,Mayo,2020/04/06 11:00:00+00,22,4,2,0,22,16,8,1
0,0,123,4038cd0c-1adb-4297-8309-ab53e19c5410,Limerick,2020/04/06 11:00:00+00,66,19,0,2,3,41,0,0
0,0,124,33180a17-a05c-4e66-8b4b-1866871133c6,Longford,2020/04/06 11:00:00+00,14,5,0,1,0,6,6,0
0,0,125,cd6d4aba-0047-45bc-8be2-644d84cf90de,Kildare,2020/04/06 11:00:00+00,38,8,2,1,3,24,3,0
0,0,126,c99217be-c7d2-4b72-84ff-6ab53f12cb58,Tipperary,2020/04/06 11:00:00+00,17,9,3,1,2,2,17,0
0,0,127,716566d5-b5cb-4654-8cd1-837729161a59,Wexford,2020/04/06 11:00:00+00,77,25,53,8,4,18,130,0
0,0,128,701a0faa-7815-46d5-89c1-572342e21746,Dublin,2020/04/06 11:00:00+00,61,48,1,8,0,4,0,0
0,0,129,b35d2d62-83ab-4cf5-8e65-732b11fed660,Laois,2020/04/06 11:00:00+00,17,4,3,0,1,9,0,1
0,0,130,0465c0ff-5969-4c82-89a1-c9895654812d,Kerry,2020/04/06 11:00:00+00,83,25,2,3,5,46,11,1
0,0,131,f36a9e79-ba8c-406f-882c-64e447f083ca,Cork County,2020/04/06 11:00:00+00,76,29,1,2,5,39,76,0
0,0,132,e527976e-1b3c-4a2f-8e66-a10345441fa3,Offaly,2020/04/06 11:00:00+00,15,2,1,1,5,1,0,0
0,0,133,4dfd97e9-825d-4191-8499-c83e7bef086f,Cork City,2020/04/05 23:00:00+00,76,31,6,8,0,31,31,0
0,0,134,d4d1cc49-717b-4a03-887d-da4bf672b14f,Westmeath,2020/04/07 11:00:00+00,17,3,1,1,1,10,0,1
0,0,135,cb071e84-9563-4604-8c78-e48a27bba1da,Longford,2020/04/07 11:00:00+00,9,1,0,1,1,6,3,0
0,0,136,84324ab6-e2d8-4cbc-828e-57703f4bca1a,Cork City,2020/04/07 11:00:00+00,90,34,9,4,0,43,42,0
0,0,137,df375d15-89a1-4244-850c-14713e9f7b73,Kilkenny,2020/04/07 11:00:00+00,8,2,0,1,1,1,0,0
0,0,138,16378dc5-2c2f-440c-817f-d9929b7c1c93,Louth,2020/04/07 11:00:00+00,25,12,2,0,2,9,20,0
0,0,139,ad030fba-d288-4345-8df2-eba991002d0a,Monaghan,2020/04/07 11:00:00+00,15,3,1,1,0,10,1,0
0,0,140,4a6db7f3-9a85-4e17-80e9-484027bd6e9b,Dún Laoghaire–Rathdown,2020/04/07 11:00:00+00,42,33,2,2,3,6,65,0
0,0,141,a504aec4-eecb-4c6f-81b7-603199ca853b,Sligo,2020/04/07 11:00:00+00,22,8,5,0,4,5,31,0
0,0,142,b80730d3-1370-4e64-8fb4-c771b8da340e,Galway County,2020/04/07 11:00:00+00,30,7,0,2,0,19,7,0
0,0,143,2ab9faa1-f44a-47dd-83cb-b63a6b4646b9,Wicklow,2020/04/07 11:00:00+00,33,14,2,2,0,15,15,1
0,0,144,f2ca03cd-c516-4eb3-8f81-7904d65958dd,Clare,2020/04/07 11:00:00+00,35,8,0,0,1,26,1,0
0,0,145,be7e106d-c6fa-4851-8142-0773fc78c7f7,Mayo,2020/04/07 11:00:00+00,25,8,1,1,1,13,7,1
0,0,146,d7d60ca8-001d-44db-8d84-9c6638e40e39,Fingal,2020/04/07 11:00:00+00,58,15,0,2,0,41,38,0
0,0,147,e8d80148-1520-45e9-8b27-bafca7dc8d1b,Roscommon,2020/04/07 11:00:00+00,73,8,9,45,0,11,6,0
0,0,148,76de58a3-167a-417f-8127-0b2ab4746246,Dublin,2020/04/07 11:00:00+00,40,35,0,4,0,1,6,0
0,0,149,96639982-3486-4495-8cce-5f7fb23d2f6e,Offaly,2020/04/07 11:00:00+00,22,8,1,0,7,5,0,0
0,0,150,b09a53a4-70e4-43ef-88b2-8eb1141985f8,Meath,2020/04/07 11:00:00+00,22,6,1,0,0,14,7,0
0,0,151,c9af70f3-a928-4b1b-82e2-7e24c477935b,Kerry,2020/04/07 11:00:00+00,68,19,1,3,2,41,8,1
0,0,152,ecc4f68f-b70c-4d1a-8476-f92a345f4d59,Carlow,2020/04/07 11:00:00+00,20,12,2,0,0,,11,0
0,0,153,caf8d12a-a8b8-4e53-82c5-e98171ef50f7,Donegal,2020/04/07 11:00:00+00,19,5,4,1,0,9,0,0
0,0,154,4afa259e-6c99-4d30-8238-18d1c209652f,South Dublin,2020/04/07 11:00:00+00,51,24,3,0,10,14,21,0
0,0,155,d828f8b3-ae98-476c-8562-e247ba20f083,Cavan,2020/04/07 11:00:00+00,43,13,2,1,0,25,7,0
0,0,156,4ecdbed1-f2f6-4948-8a49-b2ac1dd7fe0a,Leitrim,2020/04/07 11:00:00+00,19,6,0,1,4,7,12,0
0,0,157,77ee6ab3-aa11-4495-8239-2fff23dc9757,Kildare,2020/04/07 11:00:00+00,34,10,1,0,0,23,2,0
0,0,158,82eb7f6f-e12e-4ce5-8e97-2feeec50adcf,Galway City,2020/04/07 11:00:00+00,23,14,6,1,2,0,35,0
0,0,159,f16a5bd3-ab3c-49f4-8f31-2e2afa7d9400,Waterford,2020/04/07 11:00:00+00,37,13,5,0,2,16,37,0
0,0,160,f2113adf-a2b6-49ec-8a06-97030f4ee120,Laois,2020/04/07 11:00:00+00,24,6,0,0,0,16,0,0
0,0,161,0628f07f-5407-4ddc-8372-e4e35e71c567,Wexford,2020/04/07 11:00:00+00,36,20,114,3,5,20,139,0
0,0,162,d307bea7-fed6-474f-8c1b-266377d4ef2a,Limerick,2020/04/07 11:00:00+00,63,31,3,0,0,26,0,0
0,0,163,55485105-cde0-4a6c-8cb6-9248a8a251b3,Tipperary,2020/04/07 11:00:00+00,14,7,4,0,1,2,14,0
0,0,164,6245691c-eec4-41b2-8d4a-c637eaa5353e,Cork County,2020/04/07 11:00:00+00,142,25,1,1,7,107,121,0
0,0,165,53faf686-1937-4fc4-84af-d8c2465b90c2,Westmeath,2020/04/08 11:00:00+00,16,10,1,2,1,2,0,0
0,0,166,0cf7d764-5506-488e-8e98-5e941be93ce9,Longford,2020/04/08 11:00:00+00,12,2,0,2,0,8,4,0
0,0,167,36b2e2ed-fbb0-4ffe-882b-1b6340a710d4,Cork City,2020/04/08 11:00:00+00,79,28,7,3,0,41,33,0
0,0,168,76e495df-74a7-4715-847a-aa59d2bfdd6b,Monaghan,2020/04/08 11:00:00+00,11,2,2,2,0,5,4,0
0,0,169,80950ff2-abd3-4e87-85c4-6cbe59b35e05,Galway City,2020/04/08 11:00:00+00,14,4,8,1,1,0,35,0
0,0,170,7a700355-e36e-472d-8ad9-101df166b27a,Fingal,2020/04/08 11:00:00+00,39,10,0,2,0,26,14,1
0,0,171,c91765a3-8475-4c51-8c0b-57ac6fc549b8,Waterford,2020/04/08 11:00:00+00,34,12,3,0,0,19,9,0
0,0,173,6cca15b9-2a54-41e3-8b22-64db7757d2ec,Dún Laoghaire–Rathdown,2020/04/08 11:00:00+00,48,41,2,0,3,6,88,0
0,0,174,1ccae3e3-69b3-49ea-8b87-bd1d0d4bbd3e,Roscommon,2020/04/08 11:00:00+00,71,11,10,45,2,3,5,0
0,0,175,ca257272-3020-4b6b-8be5-97c3e4f5c79e,Meath,2020/04/08 11:00:00+00,19,8,1,1,0,9,2,0
0,0,176,1eae2159-3cd5-43de-8ef8-a67e0439a95b,Offaly,2020/04/08 11:00:00+00,12,3,0,0,2,7,1,0
0,0,177,c12cb401-cbb0-42e2-8cf9-428caee05053,Kerry,2020/04/08 11:00:00+00,64,19,3,2,3,37,109,2
0,0,178,a171f0fe-bf57-4021-88de-f4a5155d59d2,Carlow,2020/04/08 11:00:00+00,17,5,2,1,2,7,12,0
0,0,179,5bfc8ff9-8f82-47b3-8814-3e9b7ce1a9b7,Clare,2020/04/08 11:00:00+00,21,9,0,0,0,12,3,0
0,0,180,ba0885c3-7a56-437b-824d-df642f17404e,Leitrim,2020/04/08 11:00:00+00,24,5,2,2,5,10,20,0
0,0,181,4de8c141-026b-4cfb-870d-43711ca5d3d3,Galway County,2020/04/08 11:00:00+00,29,6,0,1,5,18,3,0
0,0,182,4b0cde21-cd6e-4473-88c6-78987f94edbd,Mayo,2020/04/08 11:00:00+00,20,6,0,0,0,13,7,0
0,0,183,d858e517-889d-4773-870b-78af5914afad,Kildare,2020/04/08 11:00:00+00,46,7,3,0,0,36,10,0
0,0,184,3373da6f-158e-4f1c-8f12-da547aef9770,South Dublin,2020/04/08 11:00:00+00,55,16,7,2,1,29,16,0
0,0,185,4444384a-0d8c-49c3-8677-904264dbd6d8,Sligo,2020/04/08 11:00:00+00,24,6,5,1,2,9,30,0
0,0,186,2e67ea71-d1eb-424f-83b7-391891b5ec67,Tipperary,2020/04/08 11:00:00+00,11,3,4,2,2,0,15,1
0,0,187,4502e3e5-aa33-47f4-8770-d43044e15033,Dublin,2020/04/08 11:00:00+00,47,42,0,3,0,2,35,0
0,0,188,3aa15df6-c7cd-42d4-80a7-cb83552fec1e,Kilkenny,2020/04/08 11:00:00+00,77,7,5,1,9,8,7,1
0,0,189,d09d626a-3250-43b8-8dd7-62dec29ddafa,Limerick,2020/04/08 11:00:00+00,50,26,1,0,2,21,0,0
0,0,190,e12f898c-4270-4af1-8041-57a74cdbc346,Wexford,2020/04/08 11:00:00+00,129,12,71,4,2,30,27,0
